tanggal,judul,link
2021-01-01,[SALAH] “kesimpulan Rob Oswald: COVID 19 adalah khayalan dan fiktif”,https://covid19.go.id/p/hoax-buster/salah-kesimpulan-rob-oswald-covid-19-adalah-khayalan-dan-fiktif
2021-01-01,[SALAH] “mulai tanggal 31-12-2020 pukul 06.00 sore sampai dengan tanggal 01-01-2021 akan dilakukan mati lampu total”,https://covid19.go.id/p/hoax-buster/salah-mulai-tanggal-31-12-2020-pukul-0600-sore-sampai-dengan-tanggal-01-01-2021-akan-dilakukan-mati-lampu-total
2021-01-01,[SALAH] “WHO menyatakan bahwa vaksin Sinovac adalah vaksin yang paling lemah”,https://covid19.go.id/p/hoax-buster/salah-who-menyatakan-bahwa-vaksin-sinovac-adalah-vaksin-yang-paling-lemah
2021-01-01,[SALAH] Istora Senayan Dijadikan Tempat Penampungan Pasien Covid-19,https://covid19.go.id/p/hoax-buster/salah-istora-senayan-dijadikan-tempat-penampungan-pasien-covid-19
2020-12-30,Awas Hoaks: Virus COVID-19 varian baru tidak terdeteksi oleh Tes PCR,https://covid19.go.id/p/hoax-buster/awas-hoaks-virus-covid-19-varian-baru-tidak-terdeteksi-oleh-tes-pcr
2020-12-30,[SALAH] Video Keadaan RS Covid Wisma Atlet,https://covid19.go.id/p/hoax-buster/salah-video-keadaan-rs-covid-wisma-atlet
2020-12-29,[SALAH] Artikel “Gawat! Mensos Risma Akan Hapus Semua BLT Untuk Kedepannya”,https://covid19.go.id/p/hoax-buster/salah-artikel-gawat-mensos-risma-akan-hapus-semua-blt-untuk-kedepannya
2020-12-29,[SALAH] “Haikal Hassan Dijemput Allah Petinggi FPI Berkurang Lagi”,https://covid19.go.id/p/hoax-buster/salah-haikal-hassan-dijemput-allah-petinggi-fpi-berkurang-lagi
2020-12-29,[SALAH] Pemerintah Kanada Beri $2.000 Kepada Seluruh Warga Kanada,https://covid19.go.id/p/hoax-buster/salah-pemerintah-kanada-beri-2000-kepada-seluruh-warga-kanada
2020-12-29,[SALAH] Akun Facebook Gubernur Sumatera Barat Irwan Prayitno,https://covid19.go.id/p/hoax-buster/salah-akun-facebook-gubernur-sumatera-barat-irwan-prayitno
2020-12-29,[SALAH] “GELOMBANG KE-3 Kuota Internet Free dari Operator!”,https://covid19.go.id/p/hoax-buster/salah-gelombang-ke-3-kuota-internet-free-dari-operator
2020-12-28,[SALAH]: Link Untuk Mengecek Daftar KK Penerima Bansos Rp300 Ribu DKI Jakarta Per Januari 2021,https://covid19.go.id/p/hoax-buster/salah-link-untuk-mengecek-daftar-kk-penerima-bansos-rp300-ribu-dki-jakarta-januari-2021
2020-12-28,[SALAH] Tiga Wanita Bintang Iklan Jamu Covid-19,https://covid19.go.id/p/hoax-buster/salah-tiga-wanita-bintang-iklan-jamu-covid-19
2020-12-28,[SALAH] Bupati Bojonegoro Dr. Hj. Anna Muawanah terpapar Covid-19,https://covid19.go.id/p/hoax-buster/salah-bupati-bojonegoro-dr-hj-anna-muawanah-terpapar-covid-19
2020-12-28,[SALAH] Gubernur Riau dikabarkan dilarikan ke ICU RSUD Arifin Ahmad,https://covid19.go.id/p/hoax-buster/salah-gubernur-riau-dikabarkan-dilarikan-ke-icu-rsud-arifin-ahmad
2020-12-26,[SALAH] “Jokowi hari ini tolak di suntik vaksin Covid-19 duluan”,https://covid19.go.id/p/hoax-buster/salah-jokowi-hari-ini-tolak-di-suntik-vaksin-covid-19-duluan
2020-12-26,[SALAH] Corona Varian Baru Tidak Terdeteksi PCR,https://covid19.go.id/p/hoax-buster/salah-corona-varian-baru-tidak-terdeteksi-pcr
2020-12-26,[SALAH] Rekrutmen Kerja Staf Lab Vaksin oleh RSU Mulia Hati,https://covid19.go.id/p/hoax-buster/salah-rekrutmen-kerja-staf-lab-vaksin-oleh-rsu-mulia-hati
2020-12-25,"[SALAH] “Belajar Tatap Muka RESMI Januari 2021, Anak Wajib Swab Test Sebelum Sekolah”",https://covid19.go.id/p/hoax-buster/salah-belajar-tatap-muka-resmi-januari-2021-anak-wajib-swab-test-sebelum-sekolah
2020-12-25,[SALAH] Orang yang Shalat Aman dari Corona,https://covid19.go.id/p/hoax-buster/salah-orang-yang-shalat-aman-dari-corona
2020-12-25,[SALAH] “Rumah Sakit Di Lockdown Karena Pasien Vaksin Covid Pertama Mulai Makan Pasien Lain”,https://covid19.go.id/p/hoax-buster/salah-rumah-sakit-di-lockdown-karena-pasien-vaksin-covid-pertama-mulai-makan-pasien-lain
2020-12-24,[SALAH] Purworejo Lockdown Mulai Tanggal 24 Desember 2020,https://covid19.go.id/p/hoax-buster/salah-purworejo-lockdown-mulai-tanggal-24-desember-2020
2020-12-24,[SALAH] Vaksin Covid-19 Buatan Pfizer Berbentuk Vape,https://covid19.go.id/p/hoax-buster/salah-vaksin-covid-19-buatan-pfizer-berbentuk-vape
2020-12-23,[SALAH] “Syarat Vaksin Gratis Jokowi: BPJS Kesehatan Anda Harus Aktif”,https://covid19.go.id/p/hoax-buster/salah-syarat-vaksin-gratis-jokowi-bpjs-kesehatan-anda-harus-aktif
2020-12-23,"[SALAH] Foto Demonstrasi di Paris, Prancis",https://covid19.go.id/p/hoax-buster/salah-foto-demonstrasi-di-paris-prancis
2020-12-23,"HOAKS: Video Perawat Pingsan Setelah Mendapat Vaksin COVID-19, Potensi Genosida Massal",https://covid19.go.id/p/hoax-buster/hoaks-video-perawat-pingsan-setelah-mendapat-vaksin-covid-19-potensi-genosida-massal
2020-12-23,[SALAH] Relawan Alami Gangguan Saraf Setelah Disuntik Vaksin Sinovac,https://covid19.go.id/p/hoax-buster/salah-relawan-alami-gangguan-saraf-setelah-disuntik-vaksin-sinovac
2020-12-22,[SALAH] “Paus Fransiskus Mengatakan Vaksin Covid Sekarang Akan Diperlukan Untuk Masuk Surga”,https://covid19.go.id/p/hoax-buster/salah-paus-fransiskus-mengatakan-vaksin-covid-sekarang-akan-diperlukan-untuk-masuk-surga
2020-12-21,[SALAH] Video Jarum Suntik Menghilang Saat Proses Vaksinasi Covid-19,https://covid19.go.id/p/hoax-buster/salah-video-jarum-suntik-menghilang-saat-proses-vaksinasi-covid-19
2020-12-21,[SALAH] Jokowi Akan Menggunakan Vaksin Pfizer dan Vaksin Sinovac Untuk Masyarakat,https://covid19.go.id/p/hoax-buster/salah-jokowi-akan-menggunakan-vaksin-pfizer-dan-vaksin-sinovac-untuk-masyarakat
2020-12-20,[SALAH] Kerumunan Gibran Bebas Hukuman karena Dilindungi Undang-Undang,https://covid19.go.id/p/hoax-buster/salah-kerumunan-gibran-bebas-hukuman-karena-dilindungi-undang-undang
2020-12-20,"[SALAH] Video Perawat Pingsan Setelah Mendapat Vaksin Covid-19, Potensi Genosida Massal",https://covid19.go.id/p/hoax-buster/salah-video-perawat-pingsan-setelah-mendapat-vaksin-covid-19-potensi-genosida-massal
